,Year,Jurisdiction,Month_index,Month,Number,Area (hectares),area per fire
460,2000,British Columbia,10,October,50,297.469,5.94938
461,2000,British Columbia,11,November,8,9.737,1.217125
462,2000,British Columbia,12,December,1,0.009,0.009
463,2000,British Columbia,2,February,3,1.018,0.3393333333333333
464,2000,British Columbia,3,March,17,69.05,4.061764705882353
465,2000,British Columbia,4,April,156,819.063,5.250403846153846
466,2000,British Columbia,5,May,81,360.46,4.4501234567901236
467,2000,British Columbia,6,June,129,11707.895,90.75887596899226
468,2000,British Columbia,7,July,392,1418.504,3.618632653061224
469,2000,British Columbia,8,August,603,2796.383,4.637451077943615
470,2000,British Columbia,9,September,86,72.424,0.842139534883721
471,2001,British Columbia,1,January,5,15.009,3.0018000000000002
472,2001,British Columbia,10,October,59,102.072,1.7300338983050847
473,2001,British Columbia,11,November,13,14.763,1.1356153846153847
474,2001,British Columbia,2,February,1,0.5,0.5
475,2001,British Columbia,3,March,30,138.177,4.6059
476,2001,British Columbia,4,April,127,526.84,4.148346456692914
477,2001,British Columbia,5,May,251,570.01,2.270956175298805
478,2001,British Columbia,6,June,96,805.478,8.390395833333333
479,2001,British Columbia,7,July,322,1437.215,4.463400621118012
480,2001,British Columbia,8,August,255,5915.537,23.19818431372549
481,2001,British Columbia,9,September,132,301.348,2.282939393939394
482,2002,British Columbia,1,January,3,11.509,3.8363333333333336
483,2002,British Columbia,10,October,86,386.031,4.488732558139535
484,2002,British Columbia,11,November,32,114.023,3.56321875
485,2002,British Columbia,12,December,6,73.809,12.301499999999999
486,2002,British Columbia,2,February,3,0.509,0.16966666666666666
487,2002,British Columbia,3,March,5,9.209,1.8417999999999999
488,2002,British Columbia,4,April,140,892.043,6.371735714285714
489,2002,British Columbia,5,May,159,917.089,5.76785534591195
490,2002,British Columbia,6,June,238,3733.609,15.687432773109244
